,id,r,cx,cz,c,contrast,cnr,snr,gcnr
189,954,0.004,-0.008,0.04,1430.0,-41.522536277770996,-1.6162830591201782,1.6299619674682617,0.9980198020879621
190,957,0.003,0.0,0.0475,1430.0,-37.50805377960205,-1.0675276517868042,1.0819423198699951,0.7790697959225992
191,958,0.004,0.006,0.0575,1580.0,-50.70882320404053,-1.6416903734207153,1.646489143371582,0.9993215739566912
192,960,0.003,0.016,0.065,1500.0,-35.2349066734314,-1.568517804145813,1.5961450338363647,1.0
193,963,0.006,0.008,0.055,1550.0,-52.28736877441406,-1.7612380981445312,1.7655285596847534,0.9995213021401308
194,974,0.006,0.012,0.07,1570.0,-41.302852630615234,-1.2554833889007568,1.2682164907455444,0.8532882210131456
195,992,0.003,0.006,0.05,1550.0,-37.772231101989746,-1.5905685424804688,1.61139714717865,1.0
196,1000,0.004,-0.014,0.04,1460.0,-46.646742820739746,-1.5362557172775269,1.5434361696243286,0.9992831540905096
197,1002,0.006,0.008,0.0675,1530.0,-51.79303169250488,-2.213104248046875,2.2188127040863037,0.9997598463545314
198,1008,0.008,0.01,0.065,1450.0,-46.05959892272949,-2.159925699234009,2.1707401275634766,0.9945707511676097
199,1016,0.002,-0.008,0.0475,1500.0,-44.77007865905762,-1.4672712087631226,1.4757928848266602,1.0
200,1018,0.003,-0.004,0.07,1530.0,-37.902607917785645,-1.8308558464050293,1.8639401197433472,0.9804961339633661
201,1037,0.002,-0.01,0.065,1460.0,-37.832298278808594,-1.8468120098114014,1.8708360195159912,1.0
202,1041,0.008,0.012,0.0675,1540.0,-35.09718656539917,-1.570982813835144,1.599103569984436,0.9975597855154101
203,1044,0.002,0.01,0.0525,1470.0,-4.3133461475372314,-0.29493746161460876,1.0158735513687134,0.5709173485539569
204,1047,0.004,-0.002,0.065,1530.0,-44.32722091674805,-1.7293368577957153,1.7423861026763916,0.9887144603261392
205,1050,0.006,0.002,0.0575,1430.0,-40.53756237030029,-1.586948037147522,1.6020067930221558,1.0
206,1053,0.002,0.004,0.0425,1500.0,-31.014282703399658,-1.9615305662155151,2.0193843841552734,0.9941520463337279
207,1068,0.003,-0.016,0.055,1600.0,-46.03419780731201,-1.4195916652679443,1.426714301109314,1.0
208,1073,0.006,-0.008,0.0625,1530.0,-43.706984519958496,-1.5025478601455688,1.5124180316925049,0.9988006714946752
