id,r,cx,cz,c,contrast,cnr,snr,gcnr
1044,0.002,0.01,0.0525,1470.0,-0.1700355112552642,-0.1240099966526031,8.759499549865723,0.5780396297188968
1047,0.004,-0.002,0.065,1530.0,-2.9161953926086426,-1.0184848308563232,7.52825403213501,0.5472621097864232
1050,0.006,0.002,0.0575,1430.0,-6.074053049087524,-3.9036965370178223,8.887258529663086,0.9868430140573428
1053,0.002,0.004,0.0425,1500.0,-0.0788367446511983,-0.0454629026353359,8.36103343963623,0.5087715431767958
1068,0.003,-0.016,0.055,1600.0,-3.26884001493454,-2.041170120239258,7.819114685058594,0.8876018355237787
1073,0.006,-0.008,0.0625,1530.0,-5.013400912284851,-1.8392267227172847,5.5760650634765625,0.8364942302167007
1082,0.008,0.014,0.055,1590.0,-5.5297017097473145,-3.1877098083496094,7.343074798583984,0.9676475891242432
1083,0.003,-0.016,0.0475,1430.0,-1.1973631381988523,-0.3928236365318298,4.715242385864258,0.3852973361069106
1084,0.008,0.002,0.06,1460.0,-6.548398733139038,-4.162316799163818,9.795465469360352,0.9831823236484296
1085,0.004,-0.014,0.0625,1490.0,-4.811979830265045,-1.8336050510406492,4.485849380493164,0.8214355868454662
1094,0.008,0.014,0.0575,1600.0,-5.710583925247192,-3.3737945556640625,7.604827880859375,0.975978640051752
1102,0.003,-0.014,0.05,1550.0,-4.054485261440277,-1.5414053201675415,4.353436470031738,0.7538162013737759
1103,0.006,0.01,0.0675,1530.0,-5.121408104896545,-1.612576603889465,4.151961326599121,0.7627619562732328
1107,0.002,0.002,0.065,1560.0,-0.5143860355019569,-0.4744198620319366,11.45734977722168,0.5196422061923638
1111,0.002,-0.008,0.0425,1590.0,-0.3349222987890243,-0.1994840651750564,7.400455951690674,0.508772036176606
1118,0.002,0.004,0.07,1450.0,-0.1483015157282352,-0.1121590435504913,8.425958633422852,0.5675538623441079
1141,0.006,0.014,0.0575,1490.0,-5.681923031806946,-3.1564316749572754,7.092102527618408,0.9679568835682542
1142,0.006,-0.002,0.0425,1430.0,-5.353821516036987,-2.528751850128174,5.852065563201904,0.9241548606110552
1143,0.003,-0.008,0.04,1450.0,-0.7022231072187424,-0.378582239151001,6.8935065269470215,0.3346499628545252
1146,0.006,0.01,0.065,1540.0,-4.729345738887787,-1.3709970712661743,3.9178993701934814,0.7129909229984208
1150,0.006,-0.002,0.04,1580.0,-4.727701246738434,-2.850590229034424,8.099785804748535,0.9576366481836162
1155,0.004,0.014,0.0625,1520.0,-6.300784945487976,-4.562636852264404,9.629539489746094,0.9986175244784256
1159,0.006,0.0,0.07,1530.0,-3.4276506304740906,-1.2478318214416504,9.648526191711426,0.6259814056126211
1160,0.004,0.014,0.05,1580.0,-4.072185456752777,-1.366364359855652,3.77456259727478,0.7153377251571442
1162,0.006,-0.012,0.06,1430.0,-6.118793487548828,-2.5228679180145264,5.284571170806885,0.9094897055767908
1167,0.008,-0.012,0.065,1430.0,-5.598928928375244,-1.9385921955108645,4.643680095672607,0.8504472941471106
1169,0.003,0.002,0.055,1570.0,-0.2423805929720401,-0.1782282441854477,8.770112991333008,0.2784107869402168
1171,0.003,0.004,0.0425,1430.0,-2.7715402841567998,-0.8101041316986084,3.655609130859375,0.5383146359275525
1179,0.004,-0.016,0.055,1520.0,-5.1498812437057495,-2.5811941623687744,6.9213409423828125,0.9021205427370872
1180,0.003,-0.016,0.045,1590.0,-0.1449406612664461,-0.104799561202526,8.272220611572266,0.2742196967439116
1182,0.008,-0.006,0.0525,1530.0,-6.332704424858093,-2.7428247928619385,5.488875865936279,0.9257612455921832
1185,0.002,0.004,0.0675,1480.0,-0.2519946545362472,-0.2145185619592666,9.766268730163574,0.6081866161891839
1196,0.008,0.014,0.0675,1470.0,-6.829527020454407,-4.644163131713867,9.085993766784668,0.9998682821541984
1197,0.002,0.016,0.065,1570.0,0.2112934365868568,0.1622875481843948,8.811084747314453,0.548847415859133
1200,0.006,-0.014,0.045,1470.0,-5.347297787666321,-2.4884519577026367,6.069130420684815,0.9108463591770796
1203,0.003,0.002,0.0525,1520.0,-0.6592046469449997,-0.4965739250183105,9.103519439697266,0.3502271415275702
1205,0.008,0.012,0.0575,1450.0,-6.306892037391663,-3.3622312545776367,6.843948841094971,0.9678937240469564
1206,0.002,-0.014,0.055,1510.0,-0.1451743952929973,-0.1212146952748298,10.479759216308594,0.577380447803327
1216,0.002,-0.014,0.0675,1600.0,-0.4685239121317863,-0.3721731305122375,9.732662200927734,0.5380122448118394
1229,0.008,0.008,0.0625,1420.0,-6.310891509056091,-3.6983046531677246,8.131686210632324,0.9779036558482602
1241,0.003,-0.004,0.0475,1430.0,-2.7474036812782288,-1.1495548486709597,4.790556907653809,0.628942132867784
